"","Province.State","Country.Region","Lat","Long","Date","count"
"1","","Afghanistan",33.93911,67.709953,2020-01-22,0
"2","","Albania",41.1533,20.1683,2020-01-22,0
"3","","Algeria",28.0339,1.6596,2020-01-22,0
"4","","Andorra",42.5063,1.5218,2020-01-22,0
"5","","Angola",-11.2027,17.8739,2020-01-22,0
"6","","Antigua and Barbuda",17.0608,-61.7964,2020-01-22,0
"7","","Argentina",-38.4161,-63.6167,2020-01-22,0
"8","","Armenia",40.0691,45.0382,2020-01-22,0
"9","Australian Capital Territory","Australia",-35.4735,149.0124,2020-01-22,0
"10","New South Wales","Australia",-33.8688,151.2093,2020-01-22,0
"11","Northern Territory","Australia",-12.4634,130.8456,2020-01-22,0
"12","Queensland","Australia",-27.4698,153.0251,2020-01-22,0
"13","South Australia","Australia",-34.9285,138.6007,2020-01-22,0
"14","Tasmania","Australia",-42.8821,147.3272,2020-01-22,0
"15","Victoria","Australia",-37.8136,144.9631,2020-01-22,0
"16","Western Australia","Australia",-31.9505,115.8605,2020-01-22,0
"17","","Austria",47.5162,14.5501,2020-01-22,0
"18","","Azerbaijan",40.1431,47.5769,2020-01-22,0
"19","","Bahamas",25.025885,-78.035889,2020-01-22,0
"20","","Bahrain",26.0275,50.55,2020-01-22,0
"21","","Bangladesh",23.685,90.3563,2020-01-22,0
"22","","Barbados",13.1939,-59.5432,2020-01-22,0
"23","","Belarus",53.7098,27.9534,2020-01-22,0
"24","","Belgium",50.8333,4.469936,2020-01-22,0
"25","","Belize",17.1899,-88.4976,2020-01-22,0
"26","","Benin",9.3077,2.3158,2020-01-22,0
"27","","Bhutan",27.5142,90.4336,2020-01-22,0
"28","","Bolivia",-16.2902,-63.5887,2020-01-22,0
"29","","Bosnia and Herzegovina",43.9159,17.6791,2020-01-22,0
"30","","Botswana",-22.3285,24.6849,2020-01-22,0
"31","","Brazil",-14.235,-51.9253,2020-01-22,0
"32","","Brunei",4.5353,114.7277,2020-01-22,0
"33","","Bulgaria",42.7339,25.4858,2020-01-22,0
"34","","Burkina Faso",12.2383,-1.5616,2020-01-22,0
"35","","Burma",21.9162,95.956,2020-01-22,0
"36","","Burundi",-3.3731,29.9189,2020-01-22,0
"37","","Cabo Verde",16.5388,-23.0418,2020-01-22,0
"38","","Cambodia",11.55,104.9167,2020-01-22,0
"39","","Cameroon",3.848,11.5021,2020-01-22,0
"40","Alberta","Canada",53.9333,-116.5765,2020-01-22,0
"41","British Columbia","Canada",53.7267,-127.6476,2020-01-22,0
"42","Diamond Princess","Canada",0,0,2020-01-22,0
"43","Grand Princess","Canada",0,0,2020-01-22,0
"44","Manitoba","Canada",53.7609,-98.8139,2020-01-22,0
"45","New Brunswick","Canada",46.5653,-66.4619,2020-01-22,0
"46","Newfoundland and Labrador","Canada",53.1355,-57.6604,2020-01-22,0
"47","Northwest Territories","Canada",64.8255,-124.8457,2020-01-22,0
"48","Nova Scotia","Canada",44.682,-63.7443,2020-01-22,0
"49","Ontario","Canada",51.2538,-85.3232,2020-01-22,0
"50","Prince Edward Island","Canada",46.5107,-63.4168,2020-01-22,0
"51","Quebec","Canada",52.9399,-73.5491,2020-01-22,0
"52","Saskatchewan","Canada",52.9399,-106.4509,2020-01-22,0
"53","Yukon","Canada",64.2823,-135,2020-01-22,0
"54","","Central African Republic",6.6111,20.9394,2020-01-22,0
"55","","Chad",15.4542,18.7322,2020-01-22,0
"56","","Chile",-35.6751,-71.543,2020-01-22,0
"57","Anhui","China",31.8257,117.2264,2020-01-22,1
"58","Beijing","China",40.1824,116.4142,2020-01-22,14
"59","Chongqing","China",30.0572,107.874,2020-01-22,6
"60","Fujian","China",26.0789,117.9874,2020-01-22,1
"61","Gansu","China",35.7518,104.2861,2020-01-22,0
"62","Guangdong","China",23.3417,113.4244,2020-01-22,26
"63","Guangxi","China",23.8298,108.7881,2020-01-22,2
"64","Guizhou","China",26.8154,106.8748,2020-01-22,1
"65","Hainan","China",19.1959,109.7453,2020-01-22,4
"66","Hebei","China",39.549,116.1306,2020-01-22,1
"67","Heilongjiang","China",47.862,127.7615,2020-01-22,0
"68","Henan","China",37.8957,114.9042,2020-01-22,5
"69","Hong Kong","China",22.3,114.2,2020-01-22,0
"70","Hubei","China",30.9756,112.2707,2020-01-22,444
"71","Hunan","China",27.6104,111.7088,2020-01-22,4
"72","Inner Mongolia","China",44.0935,113.9448,2020-01-22,0
